ENS_GENEID	geneSymbol
ENSRNOG00000052432	SNORA17
ENSRNOG00000002728	Btc
ENSRNOG00000026504	Fam114a1
ENSRNOG00000003134	Slc4a4
ENSRNOG00000002262	Enoph1
ENSRNOG00000002266	Gsx2
ENSRNOG00000002267	Chic2
ENSRNOG00000036373	AABR07016556.1
ENSRNOG00000053173	U6
ENSRNOG00000051998	SNORA17
ENSRNOG00000053286	AABR07014317.1
ENSRNOG00000009437	Ewsr1
ENSRNOG00000059852	Rn5-8s
ENSRNOG00000059859	AC106663.4
ENSRNOG00000004606	Meis1
ENSRNOG00000053821	U6
ENSRNOG00000053826	AABR07014205.1
ENSRNOG00000051460	U6
ENSRNOG00000023372	Odam
ENSRNOG00000048944	AABR07015596.1
ENSRNOG00000061314	U7
ENSRNOG00000005218	Sf3a1
ENSRNOG00000005214	Plek
ENSRNOG00000049481	Mir6321
ENSRNOG00000055752	SNORA17
ENSRNOG00000002889	Afp
ENSRNOG00000051263	Rn60_14_0488.1
ENSRNOG00000043451	Spp1
ENSRNOG00000061438	AC106663.5
ENSRNOG00000028534	Zfp518b
ENSRNOG00000004972	Upp1
ENSRNOG00000000075	Mtf2
ENSRNOG00000000070	Dr1
ENSRNOG00000000073	Tmed5
ENSRNOG00000041606	AABR07014980.1
ENSRNOG00000055092	AABR07015966.1
ENSRNOG00000047761	Zfp326
ENSRNOG00000057790	AABR07014328.1
ENSRNOG00000027088	Ube2k
ENSRNOG00000053517	AABR07016586.1
ENSRNOG00000058433	SNORA17
ENSRNOG00000058434	AABR07015859.1
ENSRNOG00000059747	SNORA17
ENSRNOG00000029004	LOC498339
ENSRNOG00000054437	Rel
ENSRNOG00000026585	Lrrc66
ENSRNOG00000007882	Ablim2
ENSRNOG00000056826	Arap2
ENSRNOG00000054531	AABR07016578.1
ENSRNOG00000047135	AABR07014756.2
ENSRNOG00000055664	SNORA17
ENSRNOG00000050406	AABR07014914.1
ENSRNOG00000051753	AABR07014272.1
ENSRNOG00000059587	U6
ENSRNOG00000059586	AABR07015080.2
ENSRNOG00000059583	AABR07016692.1
ENSRNOG00000059582	Gm1045
ENSRNOG00000027326	Tada2b
ENSRNOG00000057321	Rn60_14_1002.4
ENSRNOG00000028963	RGD1562755
ENSRNOG00000005434	Sptbn1
ENSRNOG00000002802	Cxcl1
ENSRNOG00000013805	Tnip2
ENSRNOG00000008951	Rasl10a
ENSRNOG00000002381	Bmp3
ENSRNOG00000002039	Evi5
ENSRNOG00000002031	Naa11
